"ChIJS182W1QXyUwR-fQfijzaRmM","Hibou Design & Co.","http://www.hiboudesignco.com/?utm_source=GMBlisting&utm_medium=organic"," (514) 574-0015 ","Address: 1 Rue Chabanel O, Montréal, QC H2N 1N3 ","https://www.google.com/maps/place/Hibou+Design+%26+Co./data=!4m7!3m6!1s0x4cc917545b365f4b:0x6346da3c8a1ff4f9!8m2!3d45.5444017!4d-73.6515319!16s%2Fg%2F1tcz_3v0!19sChIJS182W1QXyUwR-fQfijzaRmM?authuser=0&hl=en&rclk=1",info@hiboudesignco.com, trades@hiboudesignco.com
"ChIJmap1R38ZyUwR1bNH84qN0_M","Interior Designer Marie-Eve Raymond","http://www.designerinterieur.com/"," (514) 575-4567 ","Address: 3108 Mont-Royal Ave E, Montreal, Quebec H1Y 3M5 ","https://www.google.com/maps/place/Interior+Designer+Marie-Eve+Raymond/data=!4m7!3m6!1s0x4cc9197f4775aa99:0xf3d38d8af347b3d5!8m2!3d45.5459252!4d-73.5662398!16s%2Fg%2F1wrtcgr7!19sChIJmap1R38ZyUwR1bNH84qN0_M?authuser=0&hl=en&rclk=1",filler@godaddy.com, info@designerinterieur.com
"ChIJ_7oFtEMbyUwRv2cx0Kz4SGQ","Mk Imperium Design Senc","http://www.mkimperium.com/"," (514) 222-2911 ","Address: 1155 Metcalfe St Suite 1500, Montreal, Quebec H3B 2V6 ","https://www.google.com/maps/place/Mk+Imperium+Design+Senc/data=!4m7!3m6!1s0x4cc91b43b405baff:0x6448f8acd03167bf!8m2!3d45.5002522!4d-73.5701842!16s%2Fg%2F11p0wmy6h6!19sChIJ_7oFtEMbyUwRv2cx0Kz4SGQ?authuser=0&hl=en&rclk=1",info@mkimperium.com
"ChIJtXTQFSU8yUwRHbVlDGpl11o","LUX decor","https://www.lux-decor.com/"," (514) 332-2888 ","Address: 8102A Trans Canada Route, Saint-Laurent, Quebec H4S 1M5 ","https://www.google.com/maps/place/LUX+decor/data=!4m7!3m6!1s0x4cc93c2515d074b5:0x5ad7656a0c65b51d!8m2!3d45.4886272!4d-73.7204349!16s%2Fg%2F1tksmzz_!19sChIJtXTQFSU8yUwRHbVlDGpl11o?authuser=0&hl=en&rclk=1",customerservice@lux-decor.com
"ChIJQZLEUH0ayUwRFFKKoD07CWE","ADN Design","https://adn-design.ca/"," (438) 496-2883 ","Address: 1740 Saint-Patrick St. #1207, Montreal, Quebec H3K 0B3 ","https://www.google.com/maps/place/ADN+Design/data=!4m7!3m6!1s0x4cc91a7d50c49241:0x61093b3da08a5214!8m2!3d45.4852396!4d-73.5629974!16s%2Fg%2F11g_z4rpf2!19sChIJQZLEUH0ayUwRFFKKoD07CWE?authuser=0&hl=en&rclk=1",contact@adn-design.ca
"ChIJM1-PiC4XyUwRKgGMTkB3_kI","FX Studio par Clairoux","https://clairoux.com/"," (514) 680-8929 ","Address: 1453 R. Atateken #101, Montréal, QC H2L 3L2 ","https://www.google.com/maps/place/FX+Studio+par+Clairoux/data=!4m7!3m6!1s0x4cc9172e888f5f33:0x42fe77404e8c012a!8m2!3d45.5179504!4d-73.5577773!16s%2Fg%2F12mm840jm!19sChIJM1-PiC4XyUwRKgGMTkB3_kI?authuser=0&hl=en&rclk=1",info@clairoux.com
"ChIJF-9PTMwYyUwRJYRhEJhKOng","Designer Claire Lépine, consultante, offre de service en ligne.","http://designerclairelepine.com/"," (514) 996-9648 ","Address: 1701 Av. Jacques-Lemaistre, Montréal, QC H2M 2C7 ","https://www.google.com/maps/place/Designer+Claire+L%C3%A9pine,+consultante,+offre+de+service+en+ligne./data=!4m7!3m6!1s0x4cc918cc4c4fef17:0x783a4a9810618425!8m2!3d45.5618736!4d-73.6416292!16s%2Fg%2F11gc751qln!19sChIJF-9PTMwYyUwRJYRhEJhKOng?authuser=0&hl=en&rclk=1",undefined
"ChIJ6RvyDsUbyUwR7V9_39tHwKA","Jean Stéphane Beauchamp Design","http://www.jsbeauchampdesign.com/"," (514) 759-8022 ","Address: 4300 Brebeuf St, Montreal, Quebec H2J 3K7 ","https://www.google.com/maps/place/Jean+St%C3%A9phane+Beauchamp+Design/data=!4m7!3m6!1s0x4cc91bc50ef21be9:0xa0c047dbdf7f5fed!8m2!3d45.5276765!4d-73.5749311!16s%2Fg%2F1tdwdk8t!19sChIJ6RvyDsUbyUwR7V9_39tHwKA?authuser=0&hl=en&rclk=1",undefined
"ChIJGWGS0lUbyUwRD_1AnXMRrOs","Geneviève Simard, styliste d'intérieur","http://www.genevievesimard.com/"," (438) 680-1619 ","Address: 100 Rue du Séminaire, Montréal, QC H3C 0S8 ","https://www.google.com/maps/place/Genevi%C3%A8ve+Simard,+styliste+d%27int%C3%A9rieur/data=!4m7!3m6!1s0x4cc91b55d2926119:0xebac11739d40fd0f!8m2!3d45.4898015!4d-73.5601124!16s%2Fg%2F11h0hpxk29!19sChIJGWGS0lUbyUwRD_1AnXMRrOs?authuser=0&hl=en&rclk=1",gs@genevievesimard.com
"ChIJPyownUQZyUwRcD-gnbL8Fg8","Noam Perez Interior Design","http://www.noamperezdesign.com/"," (514) 344-3888 ","Address: 4865 Rue Jean-Talon O Suite 102, Montreal, Quebec H4P 1W7 ","https://www.google.com/maps/place/Noam+Perez+Interior+Design/data=!4m7!3m6!1s0x4cc919449d302a3f:0xf16fcb29da03f70!8m2!3d45.4985023!4d-73.6489862!16s%2Fg%2F11rx3nr1c_!19sChIJPyownUQZyUwRcD-gnbL8Fg8?authuser=0&hl=en&rclk=1",info@noamperezdesign.com
"ChIJH5n_FlMayUwRX9RPvHlYAY0","101 Design - Designer d'Intérieur et Agencement","http://www.101design.ca/"," (514) 577-5799 ","Address: 4315 Rue St-Hubert, Montréal, QC H2J 2W6 ","https://www.google.com/maps/place/101+Design+-+Designer+d%27Int%C3%A9rieur+et+Agencement/data=!4m7!3m6!1s0x4cc91a5316ff991f:0x8d015879bc4fd45f!8m2!3d45.5246451!4d-73.5785548!16s%2Fg%2F11gbxgtr67!19sChIJH5n_FlMayUwRX9RPvHlYAY0?authuser=0&hl=en&rclk=1",undefined
"ChIJyTzQ-ZcbyUwRWgIATI4wVxU","By Jane Design - designer d’interieur","http://www.byjane-design.com/"," (514) 995-2744 ","Address: 7562 Saint Denis St, Montreal, Quebec H2R 2E6 ","https://www.google.com/maps/place/By+Jane+Design+-+designer+d%E2%80%99interieur/data=!4m7!3m6!1s0x4cc91b97f9d03cc9:0x1557308e4c00025a!8m2!3d45.540043!4d-73.621222!16s%2Fg%2F11g3x_y6bn!19sChIJyTzQ-ZcbyUwRWgIATI4wVxU?authuser=0&hl=en&rclk=1",byjanedesign@gmail.com
